text,emotion
No way this actually happened because my package arrived two weeks early. 😲 #shocked,surprise
"Not going to lie, my friends threw me a surprise party and wow I was not expecting this 😮",surprise
This made my whole week because the sun is out after a week of rain. 😄 #goodvibes,joy
So my friends threw me a surprise party... no way this actually happened 😲,surprise
"Not going to lie, customer service hung up on me twice and I've had it with this 🤬",anger
"Not going to lie, I have a big presentation tomorrow and my heart is racing",fear
Just customer service hung up on me twice and I am absolutely furious 🤬 #overit,anger
So my neighbor's music at 3am... I'm fuming right now #done,anger
So my friends drove three hours just to see me... feeling so grateful and loved 🥰 #grateful,love
Feeling really anxious right now. The plane hit turbulence out of nowhere. #scared,fear
So failed my driving test... feeling pretty low today 😢 #sad,sadness
Can we talk about how I have to speak in front of the whole company? this is freaking me out 😰,fear
"Not going to lie, my grandparents' 50th anniversary and this warms my heart every time 😍",love
"Not going to lie, holding hands during the sunset walk and my heart could burst 😍",love
"Not going to lie, the storm warning just got upgraded and my hands won't stop shaking 😨",fear
Can we talk about how got tickets to the concert? I am so happy right now 😄,joy
Best day ever honestly. Got promoted at work. #grateful,joy
This really broke my heart because missed my grandma's birthday call. 💔 #heartbroken,sadness
"Not going to lie, aced my final exam and best day ever honestly 😄",joy
Can we talk about how the plot twist in that finale? I did not see that coming 😲,surprise
"Not going to lie, just adopted a puppy and I am so happy right now 😄",joy
Just just adopted a puppy and I can't stop smiling 😄,joy
Makes my blood boil. Someone parked in my spot again. #overit,anger
Spent the whole day with my partner today and honestly this is what love looks like #love,love
This caught me totally off guard. The store had my exact size in stock.,surprise
Can we talk about how the meeting could have been an email? so annoyed I could scream,anger
Feeling really anxious right now. The power went out during the thunderstorm. #nervous,fear
So just tried the best pizza ever... living my best life today 🎉 #happy,joy
So the plane hit turbulence out of nowhere... I can't shake this dread 😬 #scared,fear
My heart is so full. Rewatching our wedding video. #grateful,love
So I won a raffle I forgot I entered... no way this actually happened 😲 #nooway,surprise
So my partner cooked my favorite meal... my heart is so full ❤️ #love,love
Can we talk about how the internet has been down all day? this is so frustrating 🤬,anger
This warms my heart every time. My mom sent me a care package.,love
Just my sister remembered my favorite snack and my heart is so full 😍 #grateful,love
Can we talk about how the sequel is actually better than the original? no way this actually happened 😮,surprise
Can we talk about how my team won the championship? feeling absolutely thrilled 😁,joy
Didn't get the internship today and honestly just feels like a gloomy day #sad,sadness
Can we talk about how the internet has been down all day? this is completely unacceptable,anger
This warms my heart every time because my friends drove three hours just to see me. 🤗 #grateful,love
So someone parked in my spot again... I'm seething about it 😡 #furious,anger
I've had it with this. My landlord ignored my messages for weeks. #overit,anger
Just my flight got delayed for the third time and I've had it with this 🤬,anger
Can we talk about how my package arrived two weeks early? this caught me totally off guard 😲,surprise
Can we talk about how the storm warning just got upgraded? I can't shake this dread 😬,fear
So the sequel is actually better than the original... what a plot twist honestly 🤯 #nooway,surprise
Feeling really anxious right now because walking home alone in the dark. 😰,fear
Just my friends drove three hours just to see me and I adore this so much ❤️ #blessed,love
My exam results come out tomorrow today and honestly I can't shake this dread #anxious,fear
Feeling absolutely thrilled because booked my dream vacation. 😁 #blessed,joy
Can we talk about how a random stranger paid for my coffee? I cherish moments like this 🥰,love
Just found $20 in my old jacket and living my best life today 🎉 #grateful,joy
Just my partner cooked my favorite meal and feeling so grateful and loved 🤗 #grateful,love
Just finally finished my degree and I can't stop smiling 😄,joy
I'm overjoyed because just tried the best pizza ever. 😄 #happy,joy
Can we talk about how I might lose my job in the next round of layoffs? my hands won't stop shaking 😨,fear
Just my flight got delayed for the third time and this is completely unacceptable 😤 #overit,anger
"Not going to lie, my favorite band announced a tour and feeling absolutely thrilled 😄",joy
It's been raining for a week straight today and honestly it's making me tear up #notokay,sadness
Can we talk about how I have a big presentation tomorrow? feeling really anxious right now 😰,fear
Lost my favorite necklace today and honestly feeling pretty low today #sad,sadness
So there's a huge spider in my room... feeling really anxious right now 😬 #scared,fear
I can't shake this dread because my exam results come out tomorrow. #scared,fear
Feeling absolutely thrilled. The sun is out after a week of rain. #blessed,joy
