review_id,product,aspect,sentence,compound,label
1,PhoneX,battery,"The battery life on this phone is incredible, I get almost two days on a single charge.",0.0,neutral
1,PhoneX,camera,However the camera in low light is pretty disappointing and grainy.,-0.2732,negative
2,PhoneX,screen,"Screen is gorgeous and bright, colors really pop.",0.7845,positive
2,PhoneX,price,"But the price is way too high for what you get, especially compared to competitors.",0.0,neutral
3,PhoneX,performance,"Performance is snappy, apps open instantly and gaming is smooth.",0.0,neutral
3,PhoneX,battery,Battery drains fast though if you use it heavily.,0.0,neutral
3,PhoneX,performance,Battery drains fast though if you use it heavily.,0.0,neutral
4,PhoneX,customer_service,Customer service was rude and unhelpful when I called about a defective unit.,-0.7096,negative
4,PhoneX,build_quality,The build quality feels premium and solid though.,0.1531,neutral
5,PhoneX,camera,"Camera takes stunning photos in daylight, super sharp and vivid.",0.7579,positive
5,PhoneX,battery,"Battery life is just okay, nothing special.",-0.092,neutral
6,PhoneX,screen,"I love the screen resolution, watching videos is a treat.",0.7845,positive
6,PhoneX,price,The price point is fair given all the features included.,0.3182,positive
7,PhoneX,battery,"Terrible battery, dies by early afternoon with light use.",-0.4767,negative
7,PhoneX,performance,Performance is fine but not groundbreaking.,0.1027,neutral
8,PhoneX,build_quality,The build quality is flimsy and the back cover creaks.,0.0,neutral
8,PhoneX,customer_service,Customer service resolved my issue quickly and politely though.,0.1779,neutral
9,PhoneX,camera,Amazing camera with great zoom and night mode.,0.836,positive
9,PhoneX,screen,Screen sometimes flickers which is annoying.,-0.4019,negative
10,PhoneX,price,Way overpriced for the specs offered.,0.0,neutral
10,PhoneX,performance,Performance lags when multitasking with several apps open.,-0.3612,negative
11,LaptopZ,battery,"Battery easily lasts a full workday, very impressed.",0.6997,positive
11,LaptopZ,screen,The screen has noticeable color banding on gradients though.,0.0,neutral
12,LaptopZ,build_quality,"Build quality is excellent, feels like a premium aluminum chassis.",0.7351,positive
12,LaptopZ,price,Price is steep but justified by the quality.,0.5499,positive
13,LaptopZ,performance,Performance is blazing fast for video editing and compiling code.,0.0,neutral
13,LaptopZ,customer_service,Customer service took forever to respond to my ticket.,0.0,neutral
14,LaptopZ,camera,Camera for video calls is grainy and washed out.,0.0,neutral
14,LaptopZ,sound,Camera for video calls is grainy and washed out.,0.0,neutral
14,LaptopZ,battery,"Battery life exceeded my expectations, lasting over ten hours.",0.0,neutral
15,LaptopZ,screen,Screen brightness is fantastic even outdoors.,0.7351,positive
15,LaptopZ,price,The price is honestly a steal for these specs.,-0.0516,neutral
16,LaptopZ,performance,Performance stutters under heavy load and the fans get loud.,-0.25,negative
16,LaptopZ,build_quality,Build quality still feels sturdy and well made.,0.2732,positive
17,LaptopZ,customer_service,"Customer service was fantastic, they replaced my unit within two days no questions asked.",0.34,positive
17,LaptopZ,battery,Battery could be better though.,0.4404,positive
18,LaptopZ,camera,The webcam quality is poor and blurry in dim rooms.,-0.5423,negative
18,LaptopZ,screen,Screen and display quality overall are top notch.,0.2023,neutral
19,LaptopZ,price,Overpriced for a machine with mediocre performance in benchmarks.,0.0,neutral
19,LaptopZ,performance,Overpriced for a machine with mediocre performance in benchmarks.,0.0,neutral
19,LaptopZ,build_quality,Build quality feels cheap and plasticky.,0.0,neutral
20,LaptopZ,battery,"Battery life is mediocre, barely gets through half a day.",0.0,neutral
20,LaptopZ,customer_service,Customer service was quick and courteous when I reached out.,0.5719,positive
21,Earbuds,performance,Sound performance is crisp and the bass is punchy without being overwhelming.,0.0,neutral
21,Earbuds,sound,Sound performance is crisp and the bass is punchy without being overwhelming.,0.0,neutral
21,Earbuds,battery,Battery only lasts three hours which is short.,0.0,neutral
22,Earbuds,build_quality,"Build quality feels cheap, one earbud stopped working after a month.",-0.2263,neutral
22,Earbuds,price,Price is reasonable for entry level earbuds.,0.0,neutral
23,Earbuds,battery,"Battery life across the case is impressive, over twenty hours total.",0.5106,positive
23,Earbuds,customer_service,Customer service was excellent replacing my defective pair.,0.2023,neutral
24,Earbuds,performance,Performance in calls is muffled and quiet on the other end.,0.0,neutral
24,Earbuds,sound,Performance in calls is muffled and quiet on the other end.,0.0,neutral
24,Earbuds,battery,Screen on the charging case shows battery percentage nicely.,0.4404,positive
24,Earbuds,screen,Screen on the charging case shows battery percentage nicely.,0.4404,positive
25,Earbuds,price,Great price for the sound quality and performance you get.,0.6249,positive
25,Earbuds,performance,Great price for the sound quality and performance you get.,0.6249,positive
25,Earbuds,sound,Great price for the sound quality and performance you get.,0.6249,positive
25,Earbuds,build_quality,Build quality feels premium with a nice matte finish.,0.4215,positive
26,Earbuds,battery,"Battery drains quickly even on standby, quite disappointing.",-0.5413,negative
26,Earbuds,customer_service,Customer service ignored my emails for over a week.,-0.3182,negative
27,Earbuds,performance,"Sound performance is rich and immersive, best earbuds I have owned.",0.8316,positive
27,Earbuds,sound,"Sound performance is rich and immersive, best earbuds I have owned.",0.8316,positive
27,Earbuds,price,Price is a bit high but worth every penny.,0.3291,positive
28,Earbuds,build_quality,Build quality is solid and waterproof rating gives peace of mind.,0.6249,positive
28,Earbuds,battery,Battery life meets expectations at about six hours.,0.0,neutral
