review_id,product,review_text
1,PhoneX,"The battery life on this phone is incredible, I get almost two days on a single charge. However the camera in low light is pretty disappointing and grainy."
2,PhoneX,"Screen is gorgeous and bright, colors really pop. But the price is way too high for what you get, especially compared to competitors."
3,PhoneX,"Performance is snappy, apps open instantly and gaming is smooth. Battery drains fast though if you use it heavily."
4,PhoneX,"Customer service was rude and unhelpful when I called about a defective unit. The build quality feels premium and solid though."
5,PhoneX,"Camera takes stunning photos in daylight, super sharp and vivid. Battery life is just okay, nothing special."
6,PhoneX,"I love the screen resolution, watching videos is a treat. The price point is fair given all the features included."
7,PhoneX,"Terrible battery, dies by early afternoon with light use. Performance is fine but not groundbreaking."
8,PhoneX,"The build quality is flimsy and the back cover creaks. Customer service resolved my issue quickly and politely though."
9,PhoneX,"Amazing camera with great zoom and night mode. Screen sometimes flickers which is annoying."
10,PhoneX,"Way overpriced for the specs offered. Performance lags when multitasking with several apps open."
11,LaptopZ,"Battery easily lasts a full workday, very impressed. The screen has noticeable color banding on gradients though."
12,LaptopZ,"Build quality is excellent, feels like a premium aluminum chassis. Price is steep but justified by the quality."
13,LaptopZ,"Performance is blazing fast for video editing and compiling code. Customer service took forever to respond to my ticket."
14,LaptopZ,"Camera for video calls is grainy and washed out. Battery life exceeded my expectations, lasting over ten hours."
15,LaptopZ,"Screen brightness is fantastic even outdoors. The price is honestly a steal for these specs."
16,LaptopZ,"Performance stutters under heavy load and the fans get loud. Build quality still feels sturdy and well made."
17,LaptopZ,"Customer service was fantastic, they replaced my unit within two days no questions asked. Battery could be better though."
18,LaptopZ,"The webcam quality is poor and blurry in dim rooms. Screen and display quality overall are top notch."
19,LaptopZ,"Overpriced for a machine with mediocre performance in benchmarks. Build quality feels cheap and plasticky."
20,LaptopZ,"Battery life is mediocre, barely gets through half a day. Customer service was quick and courteous when I reached out."
21,Earbuds,"Sound performance is crisp and the bass is punchy without being overwhelming. Battery only lasts three hours which is short."
22,Earbuds,"Build quality feels cheap, one earbud stopped working after a month. Price is reasonable for entry level earbuds."
23,Earbuds,"Battery life across the case is impressive, over twenty hours total. Customer service was excellent replacing my defective pair."
24,Earbuds,"Performance in calls is muffled and quiet on the other end. Screen on the charging case shows battery percentage nicely."
25,Earbuds,"Great price for the sound quality and performance you get. Build quality feels premium with a nice matte finish."
26,Earbuds,"Battery drains quickly even on standby, quite disappointing. Customer service ignored my emails for over a week."
27,Earbuds,"Sound performance is rich and immersive, best earbuds I have owned. Price is a bit high but worth every penny."
28,Earbuds,"Build quality is solid and waterproof rating gives peace of mind. Battery life meets expectations at about six hours."
